0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hour,day_year
48.5348360656,12.2103430814,46.6947504303,11.327217768,46.7090909091,9.86354438982,45.2320284698,11.7090340339,45.7466666667,14.764873083,49.4609236234,16.7525276913,68.2430939227,20.9405180581,75.3661585366,23.2774665856,78.48125,16.5,313
73.9178191489,21.6077539747,75.0225877193,21.1686474381,70.4374637681,18.6474306123,60.6216450216,16.8566910071,63.8688330871,16.8907651738,77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5,315
75.0225877193,21.1686474381,70.4374637681,18.6474306123,60.6216450216,16.8566910071,63.8688330871,16.8907651738,77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,19.0,315
70.4374637681,18.6474306123,60.6216450216,16.8566910071,63.8688330871,16.8907651738,77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,19.5,315
60.6216450216,16.8566910071,63.8688330871,16.8907651738,77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,20.0,315
63.8688330871,16.8907651738,77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,8.18465320157,94.6159689922,20.5,315
77.5961820852,22.546426794,82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,8.18465320157,94.6159689922,7.47274831516,95.2297112462,21.0,315
82.8611028316,22.2105296021,84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,8.18465320157,94.6159689922,7.47274831516,95.2297112462,6.60478569582,95.1797904192,21.5,315
84.5209701493,21.5615854482,86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,8.18465320157,94.6159689922,7.47274831516,95.2297112462,6.60478569582,95.1797904192,6.67538440647,94.8576257862,22.0,315
86.81069869,18.5110674347,88.6290629575,15.9395120261,91.3187975647,12.1356528655,94.1125762195,8.18465320157,94.6159689922,7.47274831516,95.2297112462,6.60478569582,95.1797904192,6.67538440647,94.8576257862,7.13099399977,94.6955371901,22.5,315
