0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hour,day_year
511.133879781,84.0788269957,500.148594378,78.930167393,486.82379349,75.0884724264,475.638196916,72.7285962975,468.756695157,71.2049223489,467.555950266,70.8558636733,469.173726212,71.4970329601,470.012195122,72.8139725269,471.489035088,16.5,313
534.734042553,106.950534839,523.867933723,94.1887306552,509.601449275,87.8974112857,500.330928331,85.0470022152,494.908911866,83.0461386836,493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,18.5,315
523.867933723,94.1887306552,509.601449275,87.8974112857,500.330928331,85.0470022152,494.908911866,83.0461386836,493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,19.0,315
509.601449275,87.8974112857,500.330928331,85.0470022152,494.908911866,83.0461386836,493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,19.5,315
500.330928331,85.0470022152,494.908911866,83.0461386836,493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,20.0,315
494.908911866,83.0461386836,493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,20.5,315
493.895741557,82.5122271891,493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,21.0,315
493.717834078,81.8963505819,493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,21.5,315
493.371144279,81.5546225741,492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,22.0,315
492.9286754,81.2657397627,493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,22.5,315
493.060517326,80.8746030277,492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,80.1494677807,490.582097748,23.0,315
492.287671233,80.7448368916,491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,80.1494677807,490.582097748,80.0939857806,490.393270242,23.5,315
491.950711382,80.4520613125,491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,80.1494677807,490.582097748,80.0939857806,490.393270242,80.1961376695,490.63684771,0.0,316
491.765374677,80.347312106,491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,80.1494677807,490.582097748,80.0939857806,490.393270242,80.1961376695,490.63684771,80.1307615771,490.314907873,0.5,316
491.97922999,80.2311240387,491.93762475,80.1320341116,491.27148847,80.1305361155,490.524517906,80.1494677807,490.582097748,80.0939857806,490.393270242,80.1961376695,490.63684771,80.1307615771,490.314907873,80.2968531518,490.162854031,1.0,316
